clase,categoria,numero_pixeles,minimo_cm,maximo_cm,promedio_cm
0,< -6 cm,2,-7.031743973493576,-6.525261700153351,-6.778502836823463
1,-6 a -4 cm,32,-5.500036105513573,-4.101386666297913,-4.8080974840559065
2,-4 a -2 cm,195,-3.9722152054309845,-2.015087753534317,-2.6774115927326374
3,-2 a -1 cm,360,-1.9996654242277145,-1.0041284374892712,-1.4241315621054835
4,-1 a +1 cm,2087,-0.9844047948718071,0.9943571873009205,0.06181781460252373
5,+1 a +2 cm,305,1.0039059445261955,1.996474526822567,1.3331056984721636
6,+2 a +4 cm,68,2.0051728934049606,3.6715928465127945,2.5799924014684033
7,+4 a +6 cm,3,4.3272849172353745,4.3272849172353745,4.3272849172353745
8,> +6 cm,1,6.7761532962322235,6.7761532962322235,6.7761532962322235
